Journal title,Alternative title,Publisher,Society or institution,Country of publisher,Journal article processing charges (APCs),APC amount,Currency,Journal article submission fee,Submission fee amount,Submission fee currency,First calendar year journal provided online Open Access content,Full text language,Review process,Average number of weeks between submission and publication,Journal license,License attributes,Author holds copyright without restrictions,Author holds publishing rights without restrictions
eJournal of Education Policy,eJEP: eJournal of Education Policy,Northern Arizona University,Northern Arizona University,United States,No,,,,,,2000,English,Blind peer review,14,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Cross-Currents: East Asian History and Culture Review,,University of Hawaii Press,Research Institute of Korean Studies (Korea University) and Institute of East Asian Studies (UC Berkeley),United States,No,,,,,,2011,English,Double blind peer review,24,CC BY-NC-ND,,FALSE,FALSE
Health and Interprofessional Practice,,Pacific University Library,,United States,No,,,,,,2011,English,Double blind peer review,17,CC BY,,TRUE,TRUE
CINEJ Cinema Journal,,University of Pittsburgh,University Library Systems,United States,No,,,,,,2011,English,Double blind peer review,12,CC BY,,TRUE,TRUE
Optical Materials Express,,Optical Society of America (OSA),,United States,Yes,2300,USD - US Dollar,,,,2012,English,Blind peer review,9,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
International Journal of Designs for Learning,,Association for Educational Communications and Technology,,United States,No,,,,,,2010,English,Blind peer review,27,CC BY-NC-ND,,FALSE,FALSE
Journal of Aviation Technology and Engineering,JATE,Purdue University Press,,United States,No,,,,,,2011,English,Blind peer review,24,CC BY-NC-ND,,FALSE,FALSE
Journal of Global Health Care Systems,,Global Health Care Systems,,United States,No,,,Yes,25,USD - US Dollar,2011,English,Peer review,10,CC BY,,TRUE,FALSE
Journal of Methods and Measurement in the Social Sciences,Journal of Methods and Measurement,University of Arizona Libraries,University of Arizona,United States,No,,,,,,2010,English,Blind peer review,26,CC BY-NC-ND,,TRUE,TRUE
Journal of Humanistic Mathematics,,Claremont Colleges Library,Claremont Center for Mathematical Sciences,United States,No,,,,,,2011,English,Double blind peer review,52,CC BY-NC-ND,,TRUE,TRUE
Ethnobiology Letters,,Society of Ethnobiology,Society of Ethnobiology,United States,No,,,,,,2010,English,Blind peer review,16,CC BY-NC,,TRUE,TRUE
Chronika,,Institute for European and Mediterranean Archaeology,,United States,No,,,,,,2011,English,Peer review,8,CC BY,,FALSE,FALSE
continent.,,continent.,,United States,No,,,,,,2011,English,Peer review,36,CC BY,,TRUE,TRUE
NANO,NANO: New American Notes Online,New York City College of Technology,New York City College of Technology,United States,No,,,,,,2011,English,Blind peer review,44,Publisher's own license,Attribution,TRUE,TRUE
"G3: Genes, Genomes, Genetics",,Genetics Society of America,Genetics Society of America,United States,Yes,1950,USD - US Dollar,,,,2011,English,Blind peer review,11,CC BY,,TRUE,TRUE
Physical Review X,,American Physical Society,American Physical Society,United States,Yes,1700,USD - US Dollar,,,,2011,English,Peer review,15,CC BY,,TRUE,TRUE
Functional Foods in Health and Disease,FFHD,Food Science Publisher,,United States,Yes,695,USD - US Dollar,,,,2011,English,Blind peer review,9,CC BY-NC,,TRUE,TRUE
Southwest Journal of Pulmonary and Critical Care,,Arizona Thoracic Society,,United States,No,,,,,,2010,English,Peer review,1,Publisher's own license,Attribution,TRUE,TRUE
Tremor and Other Hyperkinetic Movements,TOHM,Columbia University Libraries,Columbia University,United States,Yes,650,USD - US Dollar,,,,2011,English,Blind peer review,6,CC BY-NC-ND,,TRUE,TRUE
Journal of eScience Librarianship,JeSLIB,"University of Massachusetts Medical School, Lamar Soutter Library",,United States,No,,,,,,2012,English,Double blind peer review,16,CC BY,,TRUE,TRUE
"Health, Culture and Society",,"University Library System, University of Pittsburgh","LAPS/ENSP OSwaldo Cruz Foundation LAPS; University of Chapeco; Department of anthropology, Brunel University; University of Kingston Centre for Modern European Philosophy; Institute of Public Health, Bangalore, India",United States,No,,,,,,2011,"English, French",Blind peer review,21,CC BY,,TRUE,TRUE
International Journal of MCH and AIDS,,"Global Health and Education Projects, Inc.",Center for Global Health and Health Policy,United States,Yes,105,USD - US Dollar,,,,2012,English,Blind peer review,8,CC BY,,TRUE,TRUE
Journal of Florida Studies,JFS,Center for Interdisciplinary Writing and Research,Daytona State College,United States,No,,,,,,2011,English,Double blind peer review,12,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Molecular Therapy: Nucleic Acids,MTNA,Elsevier,American Society of Gene & Cell Therapy,United States,Yes,3200,GBP - Pound Sterling,,,,2012,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Journal of International Students,,Journal of International Students,Old Dominion University,United States,No,,,,,,2011,English,Double blind peer review,30,CC BY-NC-ND,,FALSE,FALSE
Brain and Behavior,Brain & Behavior,Wiley,,United States,Yes,2700,USD - US Dollar,,,,2011,English,Peer review,14,CC BY,,TRUE,TRUE
Journal of Librarianship and Scholarly Communication,,Pacific University Library,,United States,No,,,,,,2012,English,Double blind peer review,18,CC BY,,TRUE,TRUE
andererseits,Yearbook of Transatlantic German Studies,Duke University Libraries,"Notre Dame, Carolina-Duke Program in German Studies, and Universität Duisburg-Essen",United States,No,,,,,,2011,"English, German",Double blind peer review,24,CC BY,,TRUE,TRUE
Federal History,,Society for History in the Federal Government,,United States,No,,,,,,2009,English,Peer review,30,CC BY-NC-ND,,FALSE,FALSE
CPT: Pharmacometrics and Systems Pharmacology,,Wiley,,United States,Yes,3000,USD - US Dollar,,,,2012,English,Peer review,8,CC BY-NC-ND,,TRUE,TRUE
International Journal of Business and Social Research ,,MIR Center for Socio-Economic Research,Maryland Institute of Research,United States,Yes,200,USD - US Dollar,,,,2011,English,Double blind peer review,4,CC BY,,TRUE,TRUE
Ethnomusicology Review,EMR,University of California,University of California (UCLA),United States,No,,,,,,2011,"English, Spanish; Castilian",Editorial review,35,CC BY-NC,,FALSE,FALSE
Levantine Review,,Boston College,,United States,No,,,,,,2012,"Arabic, English, French, Hebrew, Spanish; Castilian",Peer review,6,CC BY,,TRUE,TRUE
Jesuit Higher Education: A Journal,,Regis University,Regis University,United States,No,,,,,,2012,English,Peer review,12,CC BY-NC-ND,,TRUE,TRUE
BioResearch Open Access,,Mary Ann Liebert,,United States,Yes,1200,USD - US Dollar,,,,2012,English,Peer review,10,CC BY,,TRUE,TRUE
European Journal of Educational Research ,EU-JER,RU Publications,,United States,Yes,250,USD - US Dollar,,,,2012,English,Blind peer review,4,CC BY,,FALSE,TRUE
APL Materials,,AIP Publishing LLC,American Institute of Physics,United States,Yes,2200,USD - US Dollar,,,,2013,English,Peer review,10,CC BY,,TRUE,TRUE
Human Figurations: Long-term Perspectives on the Human Condition,,Michigan Publishing,,United States,No,,,,,,2012,English,Double blind peer review,18,CC BY-NC-ND,,TRUE,TRUE
Central Asian Journal of Global Health,,"University Library System, University of Pittsburgh",Nazarbayev University ,United States,No,,,,,,2012,English,Peer review,20,CC BY,,TRUE,TRUE
Scholarly Editing: The Annual of the Association for Documentary Editing,,University of Nebraska-Lincoln,Association for Documentary Editing,United States,No,,,,,,2012,English,Blind peer review,30,CC BY-NC-SA,,TRUE,TRUE
Christian Journal for Global Health,CJGH,Center for Health in Mission,Center for Health in Mission,United States,Yes,700,USD - US Dollar,,,,2014,English,Double blind peer review,8,CC BY,,TRUE,TRUE
Alambique,Alambique: Revista Académica de Ciencia Ficción y Fantasia / Jornal Acadêmico de Ficção Científica e Fantasía,University of South Florida,University of South Florida,United States,No,,,,,,2013,"English, Portuguese, Spanish; Castilian",Double blind peer review,20,CC BY-NC,,TRUE,TRUE
Dartmouth Undergraduate Journal of Science,DUJS,Dartmouth College,,United States,No,,,,,,1999,English,Peer review,10,CC BY-NC,,TRUE,TRUE
PeerJ,,PeerJ Inc.,,United States,Yes,1095,USD - US Dollar,,,,2013,English,Blind peer review,10,CC BY,,TRUE,TRUE
Dentistry 3000,,"University Library System, University of Pittsburgh",,United States,No,,,,,,2013,English,Blind peer review,19,CC BY,,TRUE,TRUE
Journal of Media Literacy Education,,University of Rhode Island,National Association for Media Literacy Education,United States,No,,,,,,2009,English,Double blind peer review,24,CC BY-NC-ND,,TRUE,TRUE
Journal of Arts and Humanities,,MIR Center Press ,Maryland Institute of Research,United States,Yes,200,USD - US Dollar,,,,2012,"English, French, Spanish; Castilian",Peer review,4,CC BY,,TRUE,TRUE
Applications in Plant Sciences,,Botanical Society of America,Botanical Society of America,United States,Yes,1200,USD - US Dollar,,,,2013,English,Blind peer review,12,CC BY-NC-SA,,TRUE,TRUE
Issues and Trends in Educational Technology ,ITET,University of Arizona Libraries,University of Arizona,United States,No,,,,,,2013,English,Double blind peer review,10,CC BY-NC-SA,,TRUE,TRUE
IEEE Journal of Translational Engineering in Health and Medicine  ,IEEE JTEHM,IEEE,IEEE Engineering in Medicine and Biology Society ,United States,Yes,1750,USD - US Dollar,,,,2013,English,Blind peer review,53,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Open Journal of Occupational Therapy ,OJOT,Western Michigan University ,Western Michigan University,United States,Yes,250,USD - US Dollar,,,,2013,English,Double blind peer review,20,CC BY-NC-ND,,TRUE,FALSE
Journal of Family Strengths,JFS,Children at Risk Institute,Children at Risk,United States,No,,,,,,1995,English,Peer review,18,CC BY-NC-ND,,FALSE,FALSE
IEEE Journal of the Electron Devices Society,,IEEE,IEEE Electron Devices Society,United States,Yes,1750,USD - US Dollar,,,,2013,English,Blind peer review,17,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Cureus,Cureus Journal of Medical Science,"Cureus, Inc.",,United States,No,,,,,,2012,English,Blind peer review,3,CC BY,,TRUE,TRUE
Journal of Research Initiatives,JRI,Digital Commons/Bepress,Fayetteville State University,United States,No,,,,,,2013,English,Blind peer review,30,CC BY,,FALSE,FALSE
Journal of World-Historical Information,,"University Library System, University of Pittsburgh",Collaborative for Historical Information and Analysis,United States,No,,,,,,2013,English,Blind peer review,15,CC BY,,TRUE,TRUE
Catedral Tomada: Revista de Crítica Literaria Latinoamericana,,"University Library System, University of Pittsburgh","Hispanic Languages and Literatures, University of Pittsburgh",United States,No,,,,,,2013,Spanish; Castilian,Blind peer review,31,CC BY,,TRUE,TRUE
Archives of Scientific Psychology,,American Psychological Association,American Psychological Association,United States,Yes,3000,USD - US Dollar,,,,2013,English,Peer review,18,CC BY-NC,,TRUE,TRUE
IEEE Access,,IEEE,IEEE,United States,Yes,1750,USD - US Dollar,,,,2013,English,Blind peer review,6,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Mashriq and Mahjar,Mashriq wa-al-mahjar,"North Carolina State University, Moise A. Khayrallah Center for Lebanese Diaspora Studies",,United States,No,,,,,,2013,English,Double blind peer review,20,CC BY-NC-ND,,TRUE,TRUE
Global Health: Science and Practice Journal,,Johns Hopkins University,Johns Hopkins Center for Communication Programs,United States,No,,,,,,2013,English,Double blind peer review,22,CC BY,,TRUE,TRUE
"Plastic and Reconstructive Surgery, Global Open",PRS Global Open,Wolters Kluwer,American Society of Plastic Surgeons,United States,Yes,1995,USD - US Dollar,,,,2013,English,Blind peer review,10,CC BY-NC-ND,,TRUE,FALSE
Journal of General and Family Medicine,,Wiley,Japan Primary Care Association,United States,Yes,2500,USD - US Dollar,,,,2015,English,Double blind peer review,48,CC BY-NC-ND,,TRUE,TRUE
Global Spine Journal,,SAGE Publishing,AOSpine,United States,Yes,1500,USD - US Dollar,,,,2015,English,Double blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Journal of Neurological Surgery Reports,JNLS-R,Thieme Medical Publishers,,United States,Yes,1150,USD - US Dollar,,,,2012,English,Blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
ScienceOpen Research,SO-Research,ScienceOpen,,United States,Yes,800,USD - US Dollar,,,,2014,English,Open peer review,1,CC BY,,TRUE,TRUE
Environmental Humanities,,Duke University Press,,United States,No,,,,,,2012,English,Double blind peer review,20,CC BY-NC-ND,,TRUE,TRUE
Preventive medicine reports,,Elsevier,,United States,Yes,1600,USD - US Dollar,,,,2014,English,Peer review,14,CC BY,,FALSE,FALSE
Genomics Data,,Elsevier,,United States,Yes,500,USD - US Dollar,,,,2013,English,Peer review,12,CC BY-NC-ND,,FALSE,FALSE
Human Pathology: Case Reports,,Elsevier,,United States,Yes,1000,USD - US Dollar,,,,2014,English,Double blind peer review,16,CC BY-NC-ND,,FALSE,FALSE
Molecular Genetics and Metabolism Reports,,Elsevier,,United States,Yes,1600,USD - US Dollar,,,,2014,English,Peer review,8,CC BY-NC-ND,,FALSE,FALSE
Oral and Maxillofacial Surgery Cases,,Elsevier,,United States,Yes,500,USD - US Dollar,,,,2015,English,Blind peer review,52,CC BY-NC-ND,,FALSE,FALSE
Journal of Clinical and Translational Endocrinology,,Elsevier,,United States,Yes,960,USD - US Dollar,,,,2014,English,Peer review,16,CC BY-NC-ND,,FALSE,FALSE
Journal of Clinical and Translational Endocrinology Case Reports,,Elsevier,,United States,Yes,750,USD - US Dollar,,,,2015,English,Blind peer review,27,CC BY-NC-ND,,FALSE,FALSE
Schizophrenia Research: Cognition,,Elsevier,,United States,Yes,2000,USD - US Dollar,,,,2014,English,Blind peer review,20,CC BY-NC-ND,,FALSE,FALSE
Vision Pan-America,,Pan-American Association of Ophthalmology,,United States,No,,,,,,2012,"English, French, Portuguese, Spanish; Castilian",Double blind peer review,4,CC BY,,FALSE,FALSE
Arab World English Journal ,,Arab Society of English Language Studies,,United States,Yes,200,USD - US Dollar,,,,2010,English,Double blind peer review,12,CC BY-NC,,TRUE,TRUE
Journal of Comorbidity,,SAGE Publishing,,United States,Yes,1500,USD - US Dollar,,,,2011,English,Blind peer review,10,CC BY-NC,,FALSE,FALSE
Scandinavian Journal of Child and Adolescent Psychiatry and Psychology,,Exeley Inc,"Psychiatric Research Unit, Region Zealand",United States,No,,,,,,2013,English,Double blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
Studia Gilsoniana,,International Étienne Gilson Society,"International Étienne Gilson Society  Address: Holy Apostles College & Seminary  33 Prospect Hill Road, Cromwell, CT 06416-2027, USA  E-mail: ptarasiewicz@holyapostles.edu",United States,No,,,,,,2012,"English, French, Polish, Spanish; Castilian",Double blind peer review,26,CC BY-NC-ND,,TRUE,TRUE
Logistics,,MDPI AG,,United States,No,,,,,,2017,English,Blind peer review,11,CC BY,,TRUE,TRUE
Global Journal of Traditional Medicine,GJTM,New Century Science Press Limited,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
Global Journal of Integrated Chinese Medicine and Western Medicine,GJICMWM,New Century Science Press Limited,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
Global Journal of Nursing Research,GJNR,New Century Science Press Limited,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
Global Journal of Geriatrics Nursing,,New Century Science Press LLC,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
Global Journal of Cardiovascular and Cerebrovascular Diseases,GJCCD,New Century Science Press Limited,,United States,Yes,160,USD - US Dollar,,,,2013,"Chinese, English",Double blind peer review,8,CC BY,,TRUE,TRUE
Global Journal of Hospital Administration,,New Century Science Press LLC,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
Journal of Bioresource Management ,,"Bioresource Research Center (BRC), Islamabad",Wright State University,United States,No,,,,,,2014,English,Blind peer review,8,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Journal of Orthopaedic Surgery,,SAGE Publishing,Asia Pacific Orthopaedic Association,United States,No,,,,,,2000,English,Double blind peer review,13,CC BY-NC,,FALSE,FALSE
"Tourism, Leisure and Global Change",,"Commission on the Geography of Tourism, Leisure and Global Change of the International Geographical Union",IGU Tourism Commission,United States,No,,,,,,2014,English,Editorial review,6,CC BY-NC-ND,,TRUE,TRUE
Journal of Investigative Medicine High Impact Case Reports,,SAGE Publishing,American Federation for Medical Research ,United States,Yes,500,USD - US Dollar,,,,2013,English,Blind peer review,12,CC BY,,FALSE,FALSE
Pennsylvania Libraries: Research and Practice,PaLRaP,"University Library System, University of Pittsburgh","College & Research Division, Pennsylvania Library Association",United States,No,,,,,,2013,English,Double blind peer review,11,CC BY,,TRUE,TRUE
Molecular Genetics and Genomic Medicine,,Wiley,,United States,Yes,2200,USD - US Dollar,,,,2013,English,Blind peer review,14,CC BY,,TRUE,TRUE
Impact: Journal of Interdisciplinary Teaching and Learning,,Boston Univeristy,Center for Interdisciplinary Teaching & Learning,United States,No,,,,,,2012,English,Blind peer review,12,CC BY,,TRUE,TRUE
Elementa: Science of the Anthropocene,,BioOne,,United States,Yes,1450,USD - US Dollar,,,,2013,English,Peer review,16,CC BY,,TRUE,TRUE
Critical Multilingualism Studies ,CMS ,Department of German Studies,University of Arizona,United States,No,,,,,,2012,"English, French, German",Blind peer review,6,CC BY,,TRUE,TRUE
Dialogic Pedagogy,,"University Library System, University of Pittsburgh",Dialogic Pedagogy Scholars,United States,No,,,,,,2013,English,Open peer review,16,CC BY,,TRUE,TRUE
Journal of Youth Development,,"University Library System, University of Pittsburgh",National Association of Extension 4-H Agents (NAE4-HA),United States,No,,,,,,2017,English,Double blind peer review,13,CC BY,,TRUE,TRUE
Online Journal of Applied Knowledge Management,,International Institute for Applied Knowledge Management,,United States,No,,,,,,2013,English,Double blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
Journal of Human Sciences and Extension,JHSE,Mississippi State University,Mississippi State University,United States,No,,,,,,2013,English,Blind peer review,36,CC BY-NC-ND,,TRUE,FALSE
Global Education Review,,Mercy College,,United States,No,,,,,,2014,English,Double blind peer review,40,CC BY,,TRUE,TRUE
Southwest Respiratory and Critical Care Chronicles,SRCCC,Southwest Respiratory and Critical Care Chronicles,Texas Tech Health Science Center,United States,No,,,,,,2013,English,Peer review,7,CC BY-SA,,TRUE,FALSE
Journal of the International Association of Providers of AIDS Care,JIAPAC,SAGE Publishing,International Association of Providers of AIDS Care,United States,Yes,1500,USD - US Dollar,,,,2002,English,Double blind peer review,13,CC BY-NC,,FALSE,FALSE
Orthopaedic Journal of Sports Medicine,,SAGE Publishing,American Orthopaedic Society for Sports Medicine,United States,Yes,1000,USD - US Dollar,,,,2013,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Boston Hospitality Review,BHR,School of Hospitality Administration,Boston University,United States,No,,,,,,2012,English,Editorial review,8,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",FALSE,TRUE
Journal of the Arkansas Academy of Science,,Arkansas Academy of Science,,United States,Yes,50,USD - US Dollar,,,,1997,English,Peer review,20,Publisher's own license,,TRUE,TRUE
ACG Case Reports Journal ,,American College of Gastroenterology,American College of Gastroenterology,United States,No,,,,,,2014,English,Double blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
Undergraduate Journal of Mathematical Modeling: One + Two,UJMM,University of South Florida,,United States,No,,,,,,2013,English,Peer review,5,CC BY-NC-SA,,TRUE,TRUE
Journal of Inborn Errors of Metabolism and Screening ,,SAGE Publishing,,United States,Yes,995,USD - US Dollar,,,,2013,English,Blind peer review,12,CC BY,,FALSE,FALSE
Data Curation Profiles Directory,,Purdue University Press,,United States,No,,,,,,2009,English,Peer review,4,CC BY,,TRUE,TRUE
Journal of Biological Methods,,POL Scientific,,United States,No,,,,,,2014,English,Peer review,8,CC BY,,TRUE,TRUE
Journal of Mason Graduate Research,JMGR,Mason Publishing,George Mason University,United States,No,,,,,,2014,English,Double blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Journal of International Social Studies,,International Assembly of the National Council of the Social Studies ,International Assembly of the National Council of the Social Studies ,United States,No,,,,,,2010,English,Double blind peer review,12,Publisher's own license,Attribution,FALSE,FALSE
Critical Questions in Education,,Academy for Educational Studies,Academy for Educational Studies,United States,No,,,,,,2010,English,Double blind peer review,12,CC BY,,FALSE,TRUE
Glosas,Glosas de la ANLE,Academia Norteamericana de la Lengua Espanola,Academia Norteamericana de la lengua Espanola,United States,No,,,,,,2008,Spanish; Castilian,Peer review,3,CC BY,,TRUE,FALSE
AIMS Public Health,,AIMS Press,American Institute of Mathematical Sciences,United States,No,,,,,,2014,English,Peer review,4,CC BY,,TRUE,TRUE
Hipogrifo: Revista de Literatura y Cultura del Siglo de Oro,,Instituto de Estudios Auriseculares (IDEA),,United States,No,,,,,,2013,"English, French, Portuguese, Spanish; Castilian",Double blind peer review,32,CC BY-NC-ND,,TRUE,TRUE
Mid-Atlantic Education Review,,Rutgers Graduate School of Education,"Rutgers, The State University of New Jersey",United States,No,,,,,,2013,English,Double blind peer review,24,CC BY-NC,,TRUE,TRUE
Earth's Future,,American Geophysical Union (AGU),,United States,Yes,1800,USD - US Dollar,,,,2013,English,Blind peer review,16,CC BY-NC-ND,,FALSE,FALSE
Journal of Eastern European and Central Asian Research,,IEECA,IEECA,United States,No,,,Yes,50,USD - US Dollar,2014,English,Double blind peer review,8,CC BY,,TRUE,TRUE
Annals of Clinical and Translational Neurology ,ACTN,Wiley,ANA American Neurological Association,United States,Yes,3000,USD - US Dollar,,,,2014,English,Blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
Child Neurology Open,,SAGE Publishing,,United States,Yes,990,USD - US Dollar,,,,2014,English,Blind peer review,15,CC BY-NC,,FALSE,FALSE
Molecular Therapy: Methods and Clinical Development,,Elsevier,American Society of Gene & Cell Therapy,United States,Yes,3200,USD - US Dollar,,,,2014,English,Blind peer review,12,CC BY-NC-ND,,FALSE,FALSE
"International Journal of Society, Culture and Language",,"International Journal of Society, Culture and Language",,United States,No,,,,,,2013,English,Double blind peer review,12,Publisher's own license,"Attribution, Share Alike, No Commercial Usage",FALSE,FALSE
Structural Dynamics,,AIP Publishing LLC and ACA,The American Crystallographic Association,United States,Yes,2200,USD - US Dollar,,,,2014,English,Peer review,16,CC BY,,TRUE,TRUE
Enquiry: The ARCC Journal of Architectural Research,,Architectural Research Centers Consortium,ARCC,United States,No,,,,,,2007,English,Double blind peer review,4,CC BY-NC-SA,,TRUE,TRUE
Transactions of the American Mathematical Society. Series B,,American Mathematical Society ,American Mathematical Society,United States,Yes,2750,USD - US Dollar,,,,2014,English,Blind peer review,36,CC BY,,TRUE,FALSE
Receptors and Clinical Investigation,,"Smart Science & Technology LLC, USA",,United States,Yes,800,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
Journal of Patient-Centered Research and Reviews ,,Aurora Health Care,Aurora Health Care,United States,No,,,,,,2014,English,Double blind peer review,20,Publisher's own license,Attribution,FALSE,FALSE
"Proceedings of the American Mathematical Society, Series B",,American Mathematical Society ,American Mathematical Society ,United States,Yes,750,USD - US Dollar,,,,2014,English,Blind peer review,20,CC BY-NC,,TRUE,TRUE
SLIS Connecting ,,The University of Southern Mississippi,,United States,No,,,,,,2012,English,Peer review,16,CC BY-NC,,FALSE,FALSE
Molecular and Cellular Epilepsy,,Smart Science & Technology LLC,,United States,Yes,1280,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
"Ergo, An Open Access Journal of Philosophy",,Michigan Publishing,University of Michigan,United States,No,,,,,,2014,English,Double blind peer review,26,CC BY-NC-ND,,TRUE,TRUE
International Journal of Cancer Therapy and Oncology ,IJCTO,IJCTO,,United States,No,,,,,,2013,English,Double blind peer review,10,CC BY,,TRUE,TRUE
Statistics and Public Policy,,Taylor & Francis Group,American Statistical Association,United States,Yes,1500,USD - US Dollar,,,,2014,English,Blind peer review,32,CC BY-NC,,FALSE,FALSE
Sociological Science,,Society for Sociological Science,,United States,Yes,575,USD - US Dollar,Yes,35,USD - US Dollar,2014,English,Editorial review,6,CC BY,,TRUE,TRUE
Inflammation and Cell Signaling,,Smart Science & Technology LLC,,United States,Yes,1280,USD - US Dollar,,,,2014,English,Peer review,6,CC BY,,TRUE,TRUE
Musical Offerings,,Department of Music and Worship,Cedarville University,United States,No,,,,,,2010,English,Blind peer review,12,CC BY-NC-ND,,TRUE,TRUE
Global Journal of Psychological Research,,New Century Science Press LLC,,United States,Yes,160,USD - US Dollar,,,,2013,Chinese,Double blind peer review,8,CC BY,,TRUE,TRUE
American Journal of Experimental and Clinical Research,,American Journal of Experimental and Clinical Research,,United States,Yes,350,USD - US Dollar,,,,2014,English,Double blind peer review,8,CC BY-NC-ND,,TRUE,TRUE
Trends in Hearing,,SAGE Publishing,,United States,Yes,1500,USD - US Dollar,,,,2014,English,Blind peer review,12,CC BY-NC,,FALSE,FALSE
Reconstructive Review,,Joint Implant Surgery & Research Foundation,,United States,No,,,,,,2014,English,Double blind peer review,24,CC BY-NC,,TRUE,TRUE
Journal on Migration and Human Security,,Center for Migration Studies,,United States,No,,,,,,2014,English,Peer review,6,CC BY-NC-ND,,FALSE,FALSE
Neutrosophic Sets and Systems,,University of New Mexico,University of New Mexico,United States,No,,,,,,2013,English,Peer review,7,CC BY-NC,,TRUE,TRUE
Hybrid Pedagogy,,Hybrid Pedagogy Inc.,,United States,No,,,,,,2012,English,Open peer review,4,CC BY-NC,,FALSE,FALSE
Rocky Mountain Law Journal,,Rocky Mountain Academy of Legal Studies in Business,Rocky Mountain Academy of Legal Studies in Business,United States,No,,,,,,2012,English,Double blind peer review,10,Publisher's own license,"Attribution, No Commercial Usage",TRUE,TRUE
Neurology: Neuroimmunology and Neuroinflammation,,Wolters Kluwer,American Academy of Neurology,United States,Yes,3200,USD - US Dollar,,,,2014,English,Blind peer review,8,CC BY-NC-ND,,FALSE,FALSE
NYS TESOL Journal,,NYS TESOL,,United States,No,,,,,,2014,English,Blind peer review,24,CC BY-NC-SA,,TRUE,FALSE
AERA Open,,SAGE Publishing,American Educational Research Association,United States,Yes,700,USD - US Dollar,,,,2015,English,Double blind peer review,15,CC BY-NC,,FALSE,FALSE
"Criminology, Criminal Justice, Law and Society",CCJLS,Western Society of Criminology,Western Society of Criminology,United States,No,,,,,,2014,English,Blind peer review,12,Publisher's own license,"Attribution, No Commercial Usage, No Derivatives",FALSE,FALSE
Vivlīoḟika,Vivliofika: E-Journal of Eighteenth-Century Russian Studies ,Duke University Libraries, Eighteenth-Century Russian Studies Association (ECRSA),United States,No,,,,,,2013,"English, French, German, Russian",Blind peer review,10,CC BY,,TRUE,TRUE
Weave: Journal of Library User Experience ,,Michigan Publishing,University of Michigan,United States,No,,,,,,2014,English,Double blind peer review,26,CC BY,,TRUE,TRUE
Health Services Research and Managerial Epidemiology,,SAGE Publishing,,United States,Yes,1200,USD - US Dollar,,,,2014,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
Global Qualitative Nursing Research,,SAGE Publishing,,United States,Yes,995,USD - US Dollar,,,,2014,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
Earth and Space Science,,American Geophysical Union (AGU),,United States,Yes,1800,USD - US Dollar,,,,2014,English,Blind peer review,19,CC BY-NC-ND,,FALSE,FALSE
National Cybersecurity Institute Journal,,Excelsior College,"Excelsior College, National Cybersecurity Institute",United States,No,,,,,,2014,English,Peer review,10,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
Gerontology and Geriatric Medicine,Gerontology & Geriatric Medicine,SAGE Publishing,,United States,Yes,600,USD - US Dollar,,,,2015,English,Double blind peer review,12,CC BY-NC,,FALSE,FALSE
Global Pediatric Health,,SAGE Publishing,,United States,Yes,1300,USD - US Dollar,,,,2014,English,Blind peer review,12,CC BY-NC,,FALSE,FALSE
AIMS Energy,,AIMS Press,American Institute of Mathematical Sciences,United States,No,,,,,,2013,English,Peer review,12,CC BY,,TRUE,FALSE
Optica,,Optical Society of America (OSA),,United States,Yes,3250,USD - US Dollar,,,,2014,English,Blind peer review,15,Publisher's own license,"Attribution, No Commercial Usage",FALSE,FALSE
